0,65,1
1,26,1
2,64,1
3,88,1
4,33,1
5,81,1
6,96,1
7,95,1
8,37,2
9,3,2
10,79,2
11,41,2
12,18,2
13,57,2
14,62,2
15,58,2
16,20,2
17,67,2
18,2,2
19,65,2
20,9,2
21,40,2
22,50,2
23,70,2
24,50,3
25,91,3
26,22,3
27,60,3
28,63,3
29,4,3
30,28,3
31,96,4
32,78,4
33,43,5
34,58,5
35,29,5
36,18,5
37,97,5
38,54,5
39,12,5
40,32,5
41,89,5
42,65,5
43,45,5
44,23,5
45,72,5
46,80,5
47,77,5
48,3,5
49,33,5
50,37,5
51,25,6
52,69,6
53,72,6
54,66,6
55,23,6
56,48,6
57,73,6
58,7,6
59,11,6
60,40,6
61,1,6
62,51,6
63,82,7
64,73,7
65,64,7
66,21,7
67,80,7
68,40,7
69,31,7
70,89,7
71,44,7
72,47,7
73,97,7
74,10,7
75,27,7
76,69,7
77,91,7
78,25,7
79,24,7
80,3,7
81,15,7
82,91,8
83,14,8
84,35,8
85,46,8
86,55,8
87,68,8
88,1,8
89,39,8
90,19,8
91,74,8
92,17,8
93,88,8
94,57,8
95,98,8
96,24,8
97,49,8
98,41,8
99,51,8
100,75,8
101,67,8
102,23,9
103,26,9
104,79,9
105,80,9
106,10,9
107,78,9
108,99,9
109,87,9
110,19,9
111,31,9
112,24,9
113,81,9
114,28,9
115,69,9
116,32,10
117,40,10
118,42,10
119,51,10
120,75,10
121,34,10
122,49,10
123,25,10
124,14,10
125,57,10
126,96,10
127,46,10
128,6,10
129,47,10
130,80,10
131,16,10
132,43,10
133,75,11
134,72,11
135,32,11
136,58,11
137,82,11
138,66,11
139,93,11
140,34,11
141,52,11
142,61,11
143,69,11
144,7,11
145,10,11
146,31,11
147,28,12
148,13,12
149,39,12
150,34,12
151,64,12
152,65,12
153,29,12
154,61,12
155,17,12
156,21,12
157,40,12
158,88,12
159,69,12
160,97,13
161,23,13
162,35,13
163,67,13
164,13,13
165,74,13
166,83,13
167,18,13
168,77,13
169,2,13
170,47,13
171,64,13
172,39,13
173,82,13
174,12,13
